cli_document,churn,prob_churn,dias_desde_ultima,n_pedidos,ticket_total,tipo_cliente,canal,uf
CLI_00020501,1,0.9999987536031755,351,3,440.17,ANTIGO,Marketplace,RJ
CLI_0005815F,1,0.9999987536031755,420,1,69.93,NOVO,Marketplace,RJ
CLI_00058283,1,0.9999987536031755,432,1,328.8,ANTIGO,Marketplace,RS
CLI_0006252F,1,0.9999987536031755,251,1,637.9,NOVO,Marketplace,SP
CLI_000AA903,1,0.9999987536031755,527,1,131.22,ANTIGO,Marketplace,MG
CLI_000C9F97,1,0.9999987536031755,281,1,84.92,NOVO,Marketplace,SP
CLI_00158C5B,1,0.9999987536031755,401,1,204.19,ANTIGO,Marketplace,RJ
CLI_001845FA,1,0.9999987536031755,244,1,104.99,NOVO,Marketplace,BA
CLI_0018A89F,1,0.9999987536031755,356,3,873.96,ANTIGO,Marketplace,RJ
CLI_001CD6AB,0,4.568323345512033e-06,70,3,850.18,ANTIGO,Marketplace,CE
CLI_001ED8AB,1,0.9999987536031755,374,1,129.9,NOVO,Fulfillment,SP
CLI_001EEA08,1,0.9999987536031755,237,1,385.2,NOVO,Marketplace,RJ
CLI_0025AA0E,0,4.568323345512033e-06,140,2,593.16,ANTIGO,Marketplace,RJ
CLI_0029B000,1,0.9999987536031755,308,1,149.47,NOVO,Marketplace,SP
CLI_002A8577,1,0.9999987536031755,456,1,194.65,NOVO,Marketplace,SP
CLI_002D391E,1,0.9999987536031755,397,1,143.61,NOVO,Marketplace,SP
CLI_002E9D86,1,0.9999987536031755,291,1,135.82,NOVO,Marketplace,SP
CLI_002FD309,1,0.9999987536031755,498,1,148.87,ANTIGO,Marketplace,SP
CLI_0031754D,0,4.568323345512033e-06,79,2,363.38,ANTIGO,Marketplace,SP
CLI_00345518,0,4.568323345512033e-06,9,2,437.64,ANTIGO,Marketplace,RS
CLI_00346112,1,0.9999987536031755,383,1,81.67,ANTIGO,Marketplace,SP
CLI_0036BF43,1,0.9999987536031755,525,1,279.2,ANTIGO,Marketplace,SP
CLI_0038D2DC,1,0.9999987536031755,516,1,230.32,NOVO,Fulfillment,RJ
CLI_003C25FD,1,0.9999987536031755,303,1,209.0,NOVO,Marketplace,SP
CLI_003C3C7E,1,0.9999987536031755,281,2,236.45,ANTIGO,Marketplace,SP
CLI_003D5863,1,0.9999987536031755,431,1,147.21,NOVO,Marketplace,PE
CLI_003E0F5C,0,4.568323345512033e-06,172,2,392.75,ANTIGO,Marketplace,MG
CLI_0040204E,0,4.568323345512033e-06,42,2,832.5799999999999,ANTIGO,Marketplace,PB
CLI_00426E21,1,0.9999987536031755,332,2,253.46,ANTIGO,Marketplace,MG
CLI_0042F695,1,0.9999987536031755,445,1,317.36,NOVO,Marketplace,RJ
CLI_0044C95E,1,0.9999987536031755,498,1,139.86,ANTIGO,Marketplace,SP
CLI_00468765,0,4.568323345512033e-06,96,5,2170.51,ANTIGO,Marketplace,MG
CLI_00506229,1,0.9999987536031755,529,1,169.84,NOVO,Marketplace,SP
CLI_00516BFE,1,0.9999987536031755,402,1,489.53,ANTIGO,Marketplace,SP
CLI_0053B83D,0,4.568323345512033e-06,69,7,3876.3599999999997,ANTIGO,Marketplace,MG
CLI_0055819D,1,0.9999987536031755,397,1,170.88,ANTIGO,Marketplace,SP
CLI_0058447D,1,0.9999987536031755,349,1,439.29,ANTIGO,Marketplace,RJ
CLI_005D0491,1,0.9999987536031755,241,1,283.92,NOVO,Marketplace,RJ
CLI_006096D3,1,0.9999987536031755,401,1,119.93,NOVO,Marketplace,MG
CLI_0063DE74,0,4.568323345512033e-06,10,6,848.03,ANTIGO,Marketplace,SP
CLI_0064F2D2,0,4.568323345512033e-06,62,2,346.99,ANTIGO,Marketplace,PR
CLI_00652970,1,0.9999987536031755,507,1,99.81,NOVO,Marketplace,SP
CLI_0066AFEA,1,0.9999987536031755,223,1,172.82,NOVO,Fulfillment,RJ
CLI_00671316,1,0.9999987536031755,251,1,170.27,NOVO,Marketplace,SP
CLI_006B05B7,1,0.9999987536031755,299,1,273.06,NOVO,Marketplace,MG
CLI_007117B0,0,4.568323345512033e-06,15,7,1259.75,ANTIGO,Marketplace,RJ
CLI_00714428,0,4.568323345512033e-06,81,2,383.76,ANTIGO,Marketplace,SP
CLI_00741E51,0,4.568323345512033e-06,34,3,889.27,ANTIGO,Marketplace,SP
CLI_0075EBBD,1,0.9999987536031755,239,1,188.37,NOVO,Marketplace,BA
CLI_00772147,1,0.9999987536031755,484,1,99.1,NOVO,Marketplace,PR
CLI_00776693,0,4.568323345512033e-06,71,2,399.04999999999995,ANTIGO,Marketplace,SP
CLI_007F9CDD,1,0.9999987536031755,420,1,146.86,ANTIGO,Marketplace,SP
CLI_00808EF2,1,0.9999987536031755,426,1,152.02,ANTIGO,Marketplace,SP
CLI_00821C08,1,0.9999987536031755,355,1,84.93,NOVO,Marketplace,RJ
CLI_0083B9D7,0,4.568323345512033e-06,180,2,618.21,ANTIGO,Marketplace,SP
CLI_008B698F,1,0.9999987536031755,285,1,143.61,NOVO,Marketplace,SP
CLI_008CC479,1,0.9999987536031755,402,1,350.39,ANTIGO,Marketplace,SC
CLI_008E6B44,1,0.9999987536031755,300,1,343.7,NOVO,Marketplace,RJ
CLI_008EDB9E,1,0.9999987536031755,363,1,143.01,NOVO,Fulfillment,SP
CLI_0090488A,1,0.9999987536031755,473,2,843.15,ANTIGO,Marketplace,RJ
CLI_0092CEB8,0,4.568323345512033e-06,135,3,1566.79,ANTIGO,Marketplace,SP
CLI_009597D1,0,4.568323345512033e-06,147,3,639.24,ANTIGO,Marketplace,SE
CLI_0098DA1C,0,4.568323345512033e-06,208,2,361.14,ANTIGO,Marketplace,SP
CLI_009A2157,1,0.9999987536031755,291,2,201.43,ANTIGO,Marketplace,SP
CLI_009D0B7D,1,0.9999987536031755,351,1,416.4,ANTIGO,Marketplace,GO
CLI_009DE13D,1,0.9999987536031755,403,1,387.31,NOVO,Marketplace,PR
CLI_00A0BAE3,1,0.9999987536031755,391,1,302.11,NOVO,Marketplace,SP
CLI_00A2C035,1,0.9999987536031755,498,1,149.76,ANTIGO,Marketplace,DF
CLI_00A3A472,1,0.9999987536031755,448,1,148.01,NOVO,Marketplace,SP
CLI_00A41AAA,1,0.9999987536031755,283,1,140.6,NOVO,Marketplace,MG
CLI_00A66828,1,0.9999987536031755,237,1,159.54,NOVO,Marketplace,MG
CLI_00A6AF35,1,0.9999987536031755,410,1,356.76,NOVO,Marketplace,SP
CLI_00A7C1F2,1,0.9999987536031755,382,1,170.54,NOVO,Marketplace,SC
CLI_00A82B31,1,0.9999987536031755,259,1,72.86,NOVO,Marketplace,MT
CLI_00AD6BB2,1,0.9999987536031755,498,1,209.79,ANTIGO,Marketplace,BA
CLI_00AE6343,1,0.9999987536031755,526,1,71.52,NOVO,Marketplace,SP
CLI_00B0F4A9,1,0.9999987536031755,515,1,241.57,NOVO,Marketplace,SP
CLI_00B28365,1,0.9999987536031755,270,1,227.48,NOVO,Marketplace,AC
CLI_00B34A95,1,0.9999987536031755,419,1,93.62,NOVO,Marketplace,SP
CLI_00B89830,1,0.9999987536031755,518,1,84.6,NOVO,Fulfillment,SP
CLI_00B9B56E,1,0.9999987536031755,384,1,231.86,NOVO,Marketplace,MG
CLI_00BD1193,1,0.9999987536031755,546,1,201.53,NOVO,Marketplace,SP
CLI_00BE43EF,1,0.9999987536031755,537,1,98.97,NOVO,Marketplace,MG
CLI_00C2DCD4,1,0.9999987536031755,390,1,197.97,NOVO,Marketplace,MT
CLI_00C44434,1,0.9999987536031755,370,1,242.91,NOVO,Marketplace,RJ
CLI_00C4AD36,0,4.568323345512033e-06,35,2,216.82999999999998,ANTIGO,Marketplace,SP
CLI_00C6A8FD,1,0.9999987536031755,409,1,217.8,ANTIGO,Marketplace,SP
CLI_00CCDF52,1,0.9999987536031755,381,1,283.92,NOVO,Fulfillment,SP
CLI_00D12CD6,0,4.568323345512033e-06,16,3,1382.73,ANTIGO,Marketplace,DF
CLI_00D15CC3,1,0.9999987536031755,455,1,507.45,NOVO,Marketplace,SP
CLI_00D4502E,1,0.9999987536031755,272,1,252.89,NOVO,Marketplace,RJ
