cli_document,recencia,frequencia,monetario,R,F,M,rfm_score,rfm_total,segmento
CLI_000059B4,33,1,190.42,5,4,3,543,12,Skin Glow
CLI_00020501,351,3,440.17,2,5,5,255,12,Skin Bloom
CLI_0005815F,420,1,69.93,2,4,1,241,7,Skin Bloom
CLI_00058283,432,1,328.8,1,4,4,144,9,Skin Bloom
CLI_0006252F,251,1,637.9,3,4,5,345,12,Skin Glow
CLI_00068113,51,1,145.46,5,4,2,542,11,Skin Glow
CLI_000AA903,527,1,131.22,1,4,2,142,7,Skin Bloom
CLI_000C9F97,281,1,84.92,3,4,1,341,8,Skin Glow
CLI_00155BF9,10,1,249.04,5,4,3,543,12,Skin Glow
CLI_00158C5B,401,1,204.19,2,4,3,243,9,Skin Bloom
CLI_00158C87,31,1,94.61,5,4,1,541,10,Skin Glow
CLI_0016414C,202,1,118.26,3,4,1,341,8,Skin Glow
CLI_001845FA,244,1,104.99,3,4,1,341,8,Skin Glow
CLI_0018A89F,356,3,873.96,2,5,5,255,12,Skin Bloom
CLI_0018F8D6,175,1,239.84,3,4,3,343,10,Skin Glow
CLI_001CD6AB,70,3,850.18,4,5,5,455,14,Skin Glow
CLI_001ED8AB,374,1,129.9,2,4,2,242,8,Skin Bloom
CLI_001EEA08,237,1,385.2,3,4,4,344,11,Skin Glow
CLI_001FC77A,194,2,321.33,3,5,4,354,12,Skin Glow
CLI_00200010,209,1,115.31,3,4,1,341,8,Skin Glow
CLI_0025AA0E,140,2,593.16,4,5,5,455,14,Skin Glow
CLI_0029B000,308,1,149.47,3,4,2,342,9,Skin Glow
CLI_002A8577,456,1,194.65,1,4,3,143,8,Skin Bloom
CLI_002D391E,397,1,143.61,2,4,2,242,8,Skin Bloom
CLI_002D4268,74,1,162.01,4,4,2,442,10,Skin Glow
CLI_002E9D86,291,1,135.82,3,4,2,342,9,Skin Glow
CLI_002FD309,498,1,148.87,1,4,2,142,7,Skin Bloom
CLI_0031754D,79,2,363.38,4,5,4,454,13,Skin Glow
CLI_00321A75,78,1,449.54,4,4,5,445,13,Skin Glow
CLI_00325BD9,51,1,233.66,5,4,3,543,12,Skin Glow
CLI_00345518,9,2,437.64,5,5,5,555,15,Skin Glow
CLI_00346112,383,1,81.67,2,4,1,241,7,Skin Bloom
